interior_pressure,calibrated_pressure,pressure_normal,pressure_2.5,pressure_97.5
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101298.6831,101460.4795,101460.4795,101356.1885,101556.8692
101295.642,101457.4335,101457.4335,101353.1456,101553.8203
101295.642,101457.4335,101457.4335,101353.1456,101553.8203
101290.3245,101452.1075,101452.1075,101347.8251,101548.4892
101290.3245,101452.1075,101452.1075,101347.8251,101548.4892
101290.3245,101452.1075,101452.1075,101347.8251,101548.4892
101291.6627,101453.4479,101453.4479,101349.164,101549.8308
101291.6627,101453.4479,101453.4479,101349.164,101549.8308
101291.6627,101453.4479,101453.4479,101349.164,101549.8308
101291.3709,101453.1556,101453.1556,101348.8721,101549.5383
101291.3709,101453.1556,101453.1556,101348.8721,101549.5383
101291.3709,101453.1556,101453.1556,101348.8721,101549.5383
101289.7307,101451.5128,101451.5128,101347.2309,101547.8939
101289.7307,101451.5128,101451.5128,101347.2309,101547.8939
101286.1829,101447.9593,101447.9593,101343.6811,101544.3371
101286.1829,101447.9593,101447.9593,101343.6811,101544.3371
101286.1829,101447.9593,101447.9593,101343.6811,101544.3371
101289.8469,101451.6292,101451.6292,101347.3472,101548.0104
101289.8469,101451.6292,101451.6292,101347.3472,101548.0104
101289.8469,101451.6292,101451.6292,101347.3472,101548.0104
101290.8483,101452.6322,101452.6322,101348.3492,101549.0144
101290.8483,101452.6322,101452.6322,101348.3492,101549.0144
101290.8483,101452.6322,101452.6322,101348.3492,101549.0144
101290.8483,101452.6322,101452.6322,101348.3492,101549.0144
101290.8483,101452.6322,101452.6322,101348.3492,101549.0144
101292.4572,101454.2436,101454.2436,101349.959,101550.6274
101292.4572,101454.2436,101454.2436,101349.959,101550.6274
101289.6535,101451.4354,101451.4354,101347.1537,101547.8165
101289.6535,101451.4354,101451.4354,101347.1537,101547.8165
101289.6535,101451.4354,101451.4354,101347.1537,101547.8165
101294.9272,101456.7175,101456.7176,101352.4304,101553.1037
101294.9272,101456.7175,101456.7176,101352.4304,101553.1037
101294.9272,101456.7175,101456.7176,101352.4304,101553.1037
101293.28,101455.0677,101455.0677,101350.7823,101551.4523
101293.28,101455.0677,101455.0677,101350.7823,101551.4523
101293.28,101455.0677,101455.0677,101350.7823,101551.4523
101292.0783,101453.8641,101453.8641,101349.5799,101550.2475
101292.0783,101453.8641,101453.8641,101349.5799,101550.2475
101292.0783,101453.8641,101453.8641,101349.5799,101550.2475
101289.1509,101450.932,101450.932,101346.6508,101547.3126
101289.1509,101450.932,101450.932,101346.6508,101547.3126
101289.1509,101450.932,101450.932,101346.6508,101547.3126
101292.1357,101453.9216,101453.9216,101349.6373,101550.3051
101292.1357,101453.9216,101453.9216,101349.6373,101550.3051
101290.131,101451.9137,101451.9137,101347.6315,101548.2952
101290.131,101451.9137,101451.9137,101347.6315,101548.2952
101290.131,101451.9137,101451.9137,101347.6315,101548.2952
101289.5366,101451.3183,101451.3184,101347.0367,101547.6993
101289.5366,101451.3183,101451.3184,101347.0367,101547.6993
101289.5366,101451.3183,101451.3184,101347.0367,101547.6993
101289.5366,101451.3183,101451.3184,101347.0367,101547.6993
101289.5366,101451.3183,101451.3184,101347.0367,101547.6993
101292.8852,101454.6723,101454.6723,101350.3872,101551.0565
101292.8852,101454.6723,101454.6723,101350.3872,101551.0565
101292.8852,101454.6723,101454.6723,101350.3872,101551.0565
101292.8057,101454.5927,101454.5927,101350.3077,101550.9768
101292.8057,101454.5927,101454.5927,101350.3077,101550.9768
101292.8057,101454.5927,101454.5927,101350.3077,101550.9768
101290.8463,101452.6301,101452.6302,101348.3472,101549.0124
101290.8463,101452.6301,101452.6302,101348.3472,101549.0124
