time,geiger_cpm,anemometer_rpm
1479753189,76,37
1479753249,57,36
1479753309,65,35
1479753369,55,29
1479753429,51,22
1479753489,66,36
1479753550,62,39
1479753610,69,35
1479753670,74,33
1479753730,66,40
1479753790,59,36
1479753850,59,42
1479753910,63,40
1479753970,59,43
1479754030,66,46
1479754090,63,39
1479754150,67,37
1479754210,57,40
1479754270,55,49
1479754330,68,38
1479754390,61,39
1479754450,47,44
1479754510,61,48
1479754570,69,49
1479754630,72,48
1479754690,63,43
1479754750,53,45
1479754810,79,58
1479754870,80,51
1479754930,84,64
1479754990,105,59
1479755051,93,59
1479755111,86,69
1479755171,109,88
1479755231,102,76
1479755291,114,100
1479755351,117,89
1479755411,141,115
1479755471,152,124
1479755531,146,135
1479755591,134,132
1479755651,193,142
1479755711,186,153
1479755771,234,215
1479755831,209,177
1479755891,249,201
1479755951,246,222
1479756011,247,181
1479756071,251,226
1479756131,279,247
1479756191,282,265
1479756251,299,253
1479756311,310,313
1479756371,323,298
1479756431,381,328
1479756491,391,318
1479756552,383,358
1479756612,390,347
1479756672,435,340
1479756732,431,419
1479756792,500,409
1479756852,459,381
1479756912,489,405
1479756972,477,447
1479757032,482,414
1479757092,510,463
1479757152,509,433
1479757212,542,472
1479757272,515,391
1479757332,544,473
1479757392,500,465
1479757452,530,455
1479757512,553,459
1479757572,551,490
1479757632,540,439
1479757692,484,447
1479757752,538,449
1479757812,561,487
1479757872,494,437
1479757932,538,462
1479757992,560,463
1479758053,503,424
1479758113,548,416
1479758173,524,467
1479758233,500,395
1479758293,411,379
1479758353,399,363
1479758413,367,307
1479758473,339,286
1479758533,275,240
1479758593,237,230
1479758653,209,215
1479758713,165,141
1479758773,151,149
1479758833,140,99
1479758893,128,102
1479758953,104,93
1479759013,91,102
1479759073,82,57
1479759133,59,52
1479759193,72,44
1479759253,71,51
1479759313,65,40
1479759373,112,108
1479759433,63,48
1479759493,82,61
1479759553,61,42
1479759613,62,27
1479759674,58,37
1479759734,49,30
1479759794,55,36
1479759854,61,37
1479759914,70,43
1479759974,64,41
1479760034,68,42
1479760094,69,29
1479760154,64,27
1479760214,62,32
1479760274,60,40
1479760334,70,42
1479760394,56,41
1479760454,66,39
1479760514,58,41
1479760574,55,37
1479760634,60,43
1479760694,57,41
1479760754,71,39
1479760814,71,40
1479760874,60,45
1479760934,64,48
1479760994,66,46
1479761054,65,47
1479761114,55,56
1479761174,63,41
1479761235,70,52
1479761295,86,68
1479761355,67,44
1479761415,76,51
1479761475,97,68
1479761535,130,111
1479761595,118,69
1479761655,75,71
1479761715,97,74
1479761775,127,86
1479761835,90,70
1479761895,91,71
1479761955,98,96
1479762015,96,74
1479762075,70,58
1479762135,78,62
1479762195,96,80
1479762255,83,52
1479762315,81,61
1479762375,71,65
1479762435,103,103
1479762495,81,54
1479762555,82,65
1479762616,74,66
1479762676,109,104
1479762736,85,63
1479762796,78,70
1479762856,88,84
1479762916,112,110
1479762976,90,86
1479763036,96,73
1479763096,101,69
1479763156,111,105
1479763216,98,71
1479763276,85,80
1479763336,93,67
1479763396,115,120
1479763456,89,72
1479763516,91,76
1479763576,138,108
1479763636,197,147
1479763696,157,110
1479763756,147,100
1479763816,205,120
1479763876,212,160
1479763937,94,82
1479763997,237,139
1479764057,184,153
1479764117,229,217
1479764177,170,142
1479764237,205,162
1479764297,168,147
1479764357,267,220
1479764417,337,259
1479764477,256,202
1479764537,255,180
1479764597,334,275
1479764657,268,197
1479764717,205,159
1479764777,183,133
1479764837,282,217
1479764897,224,168
1479764957,170,143
1479765017,162,92
1479765077,160,150
1479765138,141,107
1479765198,133,127
1479765258,130,106
1479765318,186,171
1479765378,152,105
1479765438,145,108
1479765498,161,125
1479765558,200,174
1479765618,218,153
1479765678,216,169
1479765738,182,135
1479765798,192,177
1479765858,263,190
1479765918,318,212
1479765978,235,159
1479766038,261,172
1479766098,157,106
1479766158,152,111
1479766218,157,97
1479766278,184,171
1479766338,249,171
1479766399,262,174
1479766459,202,118
1479766519,293,211
1479766579,205,139
1479766639,252,177
1479766699,262,179
1479766759,314,239
1479766819,206,143
1479766879,195,146
