geiger_cpm,time,altitude
76,1479753189,9.026717756
57,1479753249,9.137767139
65,1479753309,9.22524677
55,1479753369,9.275665454
51,1479753429,9.620498431
66,1479753489,9.504299359
62,1479753550,9.644487164
69,1479753610,9.461900694
74,1479753670,9.457456557
66,1479753730,9.626043267
59,1479753790,9.791280733
59,1479753850,9.91158546
63,1479753910,9.628461317
59,1479753970,9.366131208
66,1479754030,10.73225948
63,1479754090,15.61190777
67,1479754150,336.4755792
57,1479754210,654.3549279
55,1479754270,993.0582462
68,1479754330,1332.485582
61,1479754390,1680.636643
47,1479754450,2005.430962
61,1479754510,2339.002391
69,1479754570,2678.147876
72,1479754630,3026.028057
63,1479754690,3371.908598
53,1479754750,3685.463619
79,1479754810,4001.144522
80,1479754870,4359.492014
84,1479754930,4727.240026
105,1479754990,5067.418819
93,1479755051,5417.482221
86,1479755111,5726.755109
109,1479755171,6041.300575
102,1479755231,6402.87616
114,1479755291,6727.482891
117,1479755351,7031.857427
141,1479755411,7378.231688
152,1479755471,7690.192749
146,1479755531,7986.808461
134,1479755591,8289.33608
193,1479755651,8578.98821
186,1479755711,8881.441248
234,1479755771,9184.774288
209,1479755831,9521.902688
249,1479755891,9806.634796
246,1479755951,10091.49583
247,1479756011,10391.8732
251,1479756071,10721.88613
279,1479756131,11021.45067
282,1479756191,11318.88428
299,1479756251,11630.80851
310,1479756311,11961.33241
323,1479756371,12292.71816
381,1479756431,12627.67458
391,1479756491,12867.04978
383,1479756552,13103.30252
390,1479756612,13400.42985
435,1479756672,13699.82778
431,1479756732,14077.96747
500,1479756792,14408.49989
459,1479756852,14809.94379
489,1479756912,15185.65685
477,1479756972,15559.61887
482,1479757032,15957.33375
510,1479757092,16333.72336
509,1479757152,16733.70538
542,1479757212,17122.15835
515,1479757272,17483.97312
544,1479757332,17845.9337
500,1479757392,18204.60339
530,1479757452,18481.75568
553,1479757512,18778.50849
551,1479757572,19064.84853
540,1479757632,19358.93635
484,1479757692,19657.39352
538,1479757752,19930.83933
561,1479757812,20234.20722
494,1479757872,20536.96325
538,1479757932,20934.52748
560,1479757992,19510.41182
503,1479758053,18187.76527
548,1479758113,16901.65362
524,1479758173,15761.93964
500,1479758233,14710.59368
411,1479758293,13780.46191
399,1479758353,12942.33627
367,1479758413,12146.28655
339,1479758473,11423.20093
275,1479758533,10706.88557
237,1479758593,10029.73587
209,1479758653,9386.510193
165,1479758713,8758.866855
151,1479758773,8179.774647
140,1479758833,7626.481714
128,1479758893,7102.835428
104,1479758953,6588.781316
91,1479759013,6096.856978
82,1479759073,5600.200691
59,1479759133,5097.184252
72,1479759193,4621.269086
71,1479759253,4160.153348
65,1479759313,3720.36654
112,1479759373,3299.776516
63,1479759433,2865.090222
82,1479759493,2443.94528
61,1479759553,2010.430744
62,1479759613,1575.704264
58,1479759674,1154.791084
49,1479759734,793.4990081
55,1479759794,446.0675001
61,1479759854,338.9436484
70,1479759914,338.3888538
64,1479759974,338.5358416
68,1479760034,338.8304887
69,1479760094,338.9400741
64,1479760154,338.4686502
