temperature,pressure,time,calibrated_temperature
22.64174917,101298.6831,1479753173,22.27827823
22.19888864,101295.642,1479753175,21.82704764
22.16110624,101290.3245,1479753176,21.78855115
22.15677056,101291.6627,1479753177,21.78413352
22.16544192,101291.3709,1479753178,21.79296878
22.17225514,101289.7307,1479753179,21.79991077
22.17101638,101286.1829,1479753180,21.79864859
22.18773973,101289.8469,1479753181,21.81568801
22.20260494,101290.8483,1479753182,21.83083418
22.21499262,101292.4572,1479753184,21.84345598
22.22056707,101289.6535,1479753185,21.84913579
22.23047722,101294.9272,1479753186,21.85923324
22.23295475,101293.28,1479753187,21.8617576
22.2465812,101292.0783,1479753188,21.87564159
22.25153627,101289.1509,1479753189,21.88069031
22.26392396,101292.1357,1479753190,21.89331212
22.27259534,101290.131,1479753191,21.90214739
22.28374425,101289.5366,1479753192,21.91350702
22.29427379,101292.8852,1479753194,21.92423556
22.30232579,101292.8057,1479753195,21.93243974
22.30046763,101290.8463,1479753196,21.93054647
22.31533286,101291.5109,1479753197,21.94569265
22.33329502,101289.6423,1479753198,21.96399429
22.33453379,101294.1999,1479753199,21.96525648
22.34258579,101290.4514,1479753200,21.97346066
22.35001841,101291.9608,1479753201,21.98103376
22.36426426,101291.1872,1479753203,21.99554885
22.37293565,101295.5727,1479753204,22.00438413
22.37665196,101291.7865,1479753205,22.00817068
22.39089782,101290.0036,1479753206,22.02268579
22.40080798,101291.2415,1479753207,22.03278325
22.41567323,101290.2237,1479753208,22.04792945
22.41505384,101293.4949,1479753209,22.04729836
22.42062831,101290.3226,1479753210,22.05297818
22.42806093,101290.8228,1479753212,22.06055129
22.43239663,101291.1655,1479753213,22.06496893
22.44044864,101290.4435,1479753214,22.07317312
22.4466425,101289.0456,1479753215,22.07948404
22.45469451,101287.9872,1479753216,22.08768824
22.47203731,101287.3393,1479753217,22.10535882
22.4769924,101288.1417,1479753218,22.11040755
22.47451485,101290.0954,1479753219,22.10788318
22.46708222,101290.941,1479753220,22.10031008
22.4769924,101290.1602,1479753222,22.11040755
22.46460468,101291.5489,1479753223,22.09778571
22.45903021,101290.0119,1479753224,22.09210588
22.46770161,101289.3515,1479753225,22.10094117
22.48876073,101288.9844,1479753226,22.12239831
22.49185766,101288.469,1479753227,22.12555377
22.51973003,101290.1911,1479753228,22.15395292
22.50238722,101290.8085,1479753229,22.13628234
22.5166331,101291.0431,1479753231,22.15079746
22.5253045,101290.7189,1479753232,22.15963276
22.53459529,101290.5182,1479753233,22.16909914
22.55503504,101292.3822,1479753234,22.1899252
22.5525575,101293.3577,1479753235,22.18740083
22.56060952,101290.2491,1479753236,22.19560504
22.56494522,101287.8999,1479753237,22.20002269
22.57299725,101287.8194,1479753238,22.2082269
22.57919111,101289.8164,1479753240,22.21453782
22.59281762,101293.6592,1479753241,22.22842187
22.59281762,101287.939,1479753242,22.22842187
22.59715332,101289.9639,1479753243,22.23283952
22.60892167,101291.8156,1479753244,22.24483029
22.61077983,101289.0958,1479753245,22.24672357
22.61573493,101290.2039,1479753246,22.25177232
22.63183898,101290.7464,1479753247,22.26818074
22.63245837,101289.8295,1479753249,22.26881183
22.64670427,101289.0537,1479753250,22.28332698
22.65537569,101289.0655,1479753251,22.29216229
22.67024098,101290.7378,1479753252,22.30730854
22.6838675,101289.1962,1479753253,22.3211926
22.69130015,101291.0419,1479753254,22.32876572
22.69253892,101290.8905,1479753255,22.33002791
22.69130015,101288.6862,1479753256,22.32876572
22.7036879,101291.3033,1479753257,22.3413876
22.71050116,101291.3738,1479753259,22.34832963
22.71917258,101293.4355,1479753260,22.35716495
22.72288891,101290.6563,1479753261,22.36095151
22.73465727,101292.5078,1479753262,22.3729423
22.74518687,101287.4429,1479753263,22.3836709
22.75138074,101292.1326,1479753264,22.38998184
22.75385829,101288.8006,1479753265,22.39250622
22.76129095,101293.6755,1479753266,22.40007935
22.77243993,101293.0783,1479753268,22.41143905
22.77553687,101288.8599,1479753269,22.41459452
22.7897828,101292.1222,1479753270,22.42910969
22.79969301,101293.0227,1479753271,22.4392072
22.80588689,101291.3173,1479753272,22.44551815
22.81765526,101288.4563,1479753273,22.45750895
22.82942364,101290.6441,1479753274,22.46949975
22.83190119,101288.0158,1479753275,22.47202413
22.83871447,101290.1055,1479753277,22.47896617
22.84800529,101285.4965,1479753278,22.48843259
22.84986346,101284.4585,1479753279,22.49032588
22.85357979,101288.0743,1479753280,22.49411245
22.85605735,101287.1289,1479753281,22.49663683
22.86287062,101287.5047,1479753282,22.50357887
22.87092267,101286.1074,1479753283,22.51178311
22.87835534,101290.3096,1479753284,22.51935625
22.87897473,101285.3526,1479753285,22.51998735
22.88331045,101288.0511,1479753287,22.52440501
22.8802135,101286.8842,1479753288,22.52124954
22.88702678,101286.9541,1479753289,22.52819159
22.89260128,101288.8588,1479753290,22.53387144
22.89755639,101286.2636,1479753291,22.53892021
22.90746661,101288.1737,1479753292,22.54901773
22.90313089,101287.8316,1479753293,22.54460006
22.90560844,101288.5385,1479753294,22.54712444
22.9248095,101289.9095,1479753296,22.5666884
