time,exterior_pressure,exterior_humidity,exterior_temperature,estimated_altitude,sound_time,blue_voltage,red_voltage,white_voltage
1479753175.251084,101169.0,61.17,19.25,12.97,1120.0,346,0,0
1479753176.483464,101168.0,61.48,19.26,13.11,1130.0,346,0,0
1479753177.716914,101167.0,61.66,19.25,13.13,1130.0,346,0,0
1479753178.952922,101166.0,61.73,19.23,13.23,1130.0,346,0,0
1479753180.18656,101172.0,61.87,19.16,12.72,1130.0,346,0,0
1479753181.423885,101168.0,62.18,19.12,13.11,1130.0,346,0,0
1479753182.656125,101169.0,62.31,19.09,13.02,1130.0,346,0,0
1479753183.893456,101168.0,63.08,19.09,13.08,1130.0,346,0,0
1479753185.076991,101167.0,63.09,19.02,13.13,1130.0,346,0,0
1479753186.264274,101166.0,63.23,18.98,13.27,1130.0,346,0,0
1479753187.497771,101168.0,63.2,18.95,13.12,1130.0,346,0,0
1479753188.73386,101167.0,62.54,18.86,13.13,1650.0,346,0,0
1479753189.967356,101163.0,62.28,18.81,13.46,1130.0,346,0,0
1479753191.204568,101168.0,62.69,18.76,13.07,1130.0,346,0,0
1479753192.436814,101165.0,62.65,18.68,13.36,1130.0,346,0,0
1479753193.625177,101166.0,61.76,18.61,13.23,1130.0,346,0,0
1479753194.812643,101164.0,61.74,18.6,13.43,1130.0,346,0,0
1479753195.996042,101163.0,61.68,18.51,13.48,1130.0,346,0,0
1479753197.184403,101164.0,62.37,18.49,13.41,1130.0,345,0,0
1479753198.420517,101165.0,62.8,18.47,13.36,1130.0,346,0,0
1479753199.605273,101165.0,63.24,18.43,13.31,1130.0,346,0,0
1479753200.841436,101162.0,62.91,18.36,13.58,1130.0,346,0,8
1479753202.024839,101165.0,63.06,18.34,13.29,1130.0,345,0,3
1479753203.262207,101167.0,63.27,18.34,13.13,1130.0,346,0,6
1479753204.49567,101166.0,63.44,18.31,13.26,1130.0,346,0,7
1479753205.731954,101165.0,62.92,18.23,13.32,1130.0,346,0,6
1479753206.965252,101162.0,62.35,18.2,13.56,1130.0,345,0,6
1479753208.201329,101164.0,62.37,18.17,13.38,1130.0,345,0,0
1479753209.386064,101165.0,62.27,18.12,13.29,1130.0,345,0,1
1479753210.573397,101162.0,62.61,18.09,13.57,1120.0,345,0,0
1479753211.805839,101166.0,63.41,18.09,13.29,1130.0,345,0,0
1479753213.042851,101161.0,64.17,18.09,13.64,1130.0,345,0,8
1479753214.276339,101163.0,64.79,18.08,13.52,1130.0,345,0,3
1479753215.512435,101163.0,65.45,18.09,13.54,1130.0,345,0,3
1479753216.746043,101163.0,64.68,18.05,13.52,1130.0,345,0,2
1479753217.982034,101164.0,64.34,18.06,13.45,1130.0,345,0,4
1479753219.166763,101161.0,64.71,18.08,13.62,1130.0,345,0,2
1479753220.402891,101163.0,64.35,17.98,13.52,1130.0,345,0,1
1479753221.640235,101163.0,63.58,17.97,13.46,2010.0,345,0,1
1479753222.872447,101162.0,63.49,17.92,13.6,1120.0,345,0,1
1479753224.061074,101165.0,63.62,17.93,13.35,1130.0,345,0,0
1479753225.297264,101163.0,63.52,17.88,13.52,1130.0,344,0,0
1479753226.530982,101166.0,63.75,17.89,13.26,1120.0,344,0,0
1479753227.71802,101164.0,63.5,17.89,13.45,1130.0,345,0,1
1479753228.90151,101165.0,63.26,17.88,13.34,1130.0,344,0,0
1479753230.138826,101164.0,63.49,17.85,13.43,1130.0,345,0,0
1479753231.372334,101165.0,63.49,17.87,13.34,1130.0,345,0,0
1479753232.559708,101163.0,63.31,17.85,13.53,1360.0,345,0,0
1479753233.791948,101165.0,63.57,17.87,13.36,1130.0,345,0,0
1479753235.029282,101163.0,63.75,17.9,13.48,1130.0,345,0,0
1479753236.212798,101161.0,63.93,17.91,13.65,1130.0,345,0,0
1479753237.449894,101162.0,63.94,17.91,13.55,1130.0,344,0,0
1479753238.637215,101161.0,64.08,17.91,13.69,1130.0,344,0,0
1479753239.870713,101160.0,64.61,17.92,13.75,1130.0,344,0,0
1479753241.106801,101163.0,64.64,17.91,13.53,1130.0,344,0,0
1479753242.340173,101164.0,64.2,17.87,13.43,1120.0,344,0,0
1479753243.577542,101162.0,64.27,17.87,13.61,1130.0,344,0,0
1479753244.809798,101162.0,64.7,17.89,13.58,1120.0,344,0,0
1479753245.998367,101162.0,65.01,17.92,13.59,1130.0,344,0,3
1479753247.181863,101164.0,65.08,17.95,13.43,1120.0,344,0,9
1479753248.418985,101159.0,65.61,18.02,13.81,1130.0,344,0,8
1479753249.655078,101161.0,65.77,18.02,13.66,1130.0,344,0,4
1479753250.888563,101160.0,65.73,18.04,13.77,1130.0,344,0,1
1479753252.124642,101160.0,65.43,18.05,13.73,1130.0,344,0,2
1479753253.358258,101158.0,65.06,18.06,13.89,1130.0,344,0,0
1479753254.595576,101160.0,64.78,18.05,13.73,1130.0,344,0,2
1479753255.779013,101160.0,64.7,18.09,13.73,1130.0,345,0,3
1479753256.966331,101160.0,63.96,18.09,13.71,1130.0,345,0,3
1479753258.199829,101161.0,64.06,18.09,13.71,1130.0,345,0,3
