time,altitude,blue_voltage,red_voltage,white_voltage
1479753175,8.729594142,346,0,0
1479753176,9.172944001,346,0,0
1479753178,9.061368972,346,0,0
1479753179,9.085698263,346,0,0
1479753180,9.518265525,346,0,0
1479753181,9.21276512,346,0,0
1479753183,9.129271015,346,0,0
1479753184,9.129271015,346,0,0
1479753185,9.228890381,346,0,0
1479753186,8.789189938,346,0,0
1479753187,8.92652503,346,0,0
1479753189,9.026717756,346,0,0
1479753190,9.270796168,346,0,0
1479753191,9.189077539,346,0,0
1479753192,9.238637255,346,0,0
1479753194,9.238637255,346,0,0
1479753195,8.959441698,346,0,0
1479753196,8.966070067,346,0,0
1479753197,9.074025532,345,0,0
1479753198,9.229824213,346,0,0
1479753200,8.849828261,346,0,0
1479753201,9.162363415,346,0,8
1479753202,9.036514467,345,0,3
1479753203,9.101014573,346,0,6
1479753204,8.735371951,346,0,7
1479753206,9.051046966,346,0,6
1479753207,9.199699841,345,0,6
1479753208,9.181348446,345,0,0
1479753209,8.908607667,345,0,1
1479753211,9.173102418,345,0,0
1479753212,9.173102418,345,0,0
1479753213,9.10282385,345,0,8
1479753214,9.163022096,345,0,3
1479753216,9.279575893,345,0,3
1479753217,9.3678238,345,0,2
1479753218,9.421845162,345,0,4
1479753219,9.192045779,345,0,2
1479753220,9.121541966,345,0,1
1479753222,9.121541966,345,0,1
1479753223,9.186642916,345,0,1
1479753224,9.199007807,345,0,0
1479753225,9.254070519,344,0,0
1479753227,9.284678643,344,0,0
1479753228,9.3276519,345,0,1
1479753229,9.184066551,344,0,0
1479753230,9.132589421,345,0,0
1479753231,9.113029179,345,0,0
1479753233,9.14006001,345,0,0
1479753234,9.156793813,345,0,0
1479753235,8.920046761,345,0,0
1479753236,9.179230658,345,0,0
1479753237,9.375102785,344,0,0
1479753239,9.381814798,344,0,0
1479753240,9.381814798,344,0,0
1479753241,8.894909118,344,0,0
1479753242,9.371842667,344,0,0
1479753244,9.203009932,344,0,0
1479753245,9.048620713,344,0,0
1479753246,9.275390306,344,0,3
1479753247,9.137767139,344,0,9
1479753248,9.137767139,344,0,8
1479753250,9.214215892,344,0,4
1479753251,9.278900529,344,0,1
1479753252,9.138484182,344,0,2
1479753253,9.267019137,344,0,0
1479753255,9.113129232,344,0,2
1479753256,9.125752504,345,0,3
1479753257,9.309542077,345,0,3
1479753258,9.091334529,345,0,3
1479753259,9.085456471,345,0,3
1479753261,8.91356016,345,0,1
1479753262,9.145279419,345,0,4
1479753263,9.413207062,344,0,3
1479753264,9.022190428,344,0,2
1479753266,9.300003583,344,0,3
1479753267,8.893550102,344,0,3
1479753268,8.893550102,345,0,3
1479753269,9.295059245,345,0,2
1479753270,9.02305754,345,0,2
1479753272,8.947977548,344,0,3
1479753273,9.090167255,344,0,3
1479753274,9.146296621,344,0,3
1479753275,9.365439163,344,0,4
1479753277,9.365439163,344,0,4
1479753278,9.191203666,345,0,7
1479753279,9.662047252,344,0,4
1479753280,9.360561496,344,0,3
1479753281,9.439388199,344,0,1
1479753283,9.408054221,344,0,3
1479753284,9.524560729,344,0,3
1479753285,9.587496296,344,0,2
1479753286,9.587496296,344,0,2
1479753288,9.362495887,344,0,3
1479753289,9.459791188,344,0,2
1479753290,9.295150961,344,0,4
1479753291,9.511536749,344,0,4
1479753292,9.352273638,344,0,2
1479753294,9.380797573,344,0,3
1479753295,9.321857087,344,0,2
1479753296,9.207545676,344,0,2
1479753297,9.530855936,344,0,1
1479753299,9.55847985,344,0,3
1479753300,9.402242688,344,0,2
1479753301,9.403251577,344,0,3
1479753302,9.292874732,344,0,3
1479753303,10.88893353,344,0,2
1479753305,10.88893353,344,0,2
1479753306,9.510752976,344,0,3
1479753307,9.240680014,344,0,2
1479753308,9.22524677,344,0,2
1479753310,9.451319815,344,0,1
1479753311,9.468671128,344,0,2
1479753312,9.378212823,344,0,1
1479753313,9.378212823,344,0,2
1479753314,9.404985865,344,0,2
1479753316,9.345828457,344,0,4
1479753317,9.380755884,344,0,4
1479753318,9.591006624,344,0,4
1479753319,9.229865902,343,0,4
1479753321,9.556720522,344,0,8
1479753322,9.455997413,344,0,13
1479753323,9.189794586,344,0,10
1479753324,9.5389605,344,0,7
1479753326,9.566617788,344,0,5
1479753327,9.407378849,344,0,4
1479753328,9.442331496,343,0,4
1479753329,9.53088095,344,0,3
1479753331,9.486947987,344,0,0
1479753332,9.629303466,344,0,2
1479753333,9.440738947,344,0,3
1479753334,9.44032205,344,0,5
1479753335,9.114554977,344,0,5
1479753337,9.366881618,343,0,3
1479753338,9.450719482,343,0,3
1479753339,9.564199752,343,0,3
1479753340,9.614211508,343,0,3
1479753342,9.614211508,343,0,2
1479753343,9.211906329,343,0,1
1479753344,9.457715034,343,0,2
1479753345,9.569661178,343,0,2
1479753347,9.565900715,343,0,2
1479753348,13.62948381,343,0,1
1479753349,9.394813602,342,0,2
1479753350,9.394813602,343,0,1
1479753352,9.611018019,343,0,2
1479753353,9.656135519,343,0,0
1479753354,9.566976324,342,0,0
1479753355,9.584010983,343,0,0
1479753356,9.802645751,343,0,0
1479753358,9.60761608,343,0,0
1479753359,9.542962756,342,0,0
1479753360,9.480686158,343,0,0
1479753361,9.377654183,343,0,0
1479753363,9.834114326,343,0,0
1479753364,9.634139567,343,0,0
1479753365,9.726292743,343,0,0
1479753366,9.796808983,343,0,1
1479753368,9.811500969,343,0,0
1479753369,9.275665454,344,0,1
1479753370,9.570970253,343,0,1
1479753371,9.439855124,343,0,2
1479753373,9.553927277,343,0,1
1479753374,9.461200305,343,0,0
1479753375,9.528121064,344,0,0
1479753376,9.747254952,343,0,3
1479753377,9.31236027,344,0,2
1479753379,9.31236027,343,0,0
1479753380,9.512804127,342,0,0
1479753381,9.57807428,343,0,0
1479753382,9.510552864,343,0,0
1479753384,9.616963079,343,0,1
1479753385,9.503523925,342,0,0
1479753386,9.737115708,342,0,0
1479753387,9.57021149,342,0,0
1479753389,9.57021149,342,0,0
1479753390,9.466895139,342,0,0
1479753391,9.661805446,342,0,0
1479753392,9.640426502,342,0,0
1479753394,9.433059695,342,0,0
1479753395,9.580000373,343,0,1
1479753396,9.661105043,343,0,2
1479753397,9.583519037,343,0,2
1479753398,9.874421591,342,0,0
1479753400,9.579350004,342,0,0
1479753401,9.680874767,342,0,1
1479753402,9.556570438,342,0,0
1479753403,9.712234578,342,0,0
1479753405,9.893291181,342,0,0
1479753406,9.40914649,342,0,0
1479753407,9.684977135,341,0,0
1479753408,9.699777359,342,0,0
1479753410,9.843653309,343,0,0
1479753411,9.825058971,342,0,0
1479753412,9.414357696,342,0,0
1479753413,9.518515666,342,0,0
1479753415,9.568860725,342,0,0
1479753416,9.568860725,342,0,0
1479753417,9.388693573,342,0,0
1479753418,9.504832991,342,0,0
1479753419,9.46027479,342,0,0
1479753421,9.480110837,342,0,0
1479753422,9.681233307,342,0,0
1479753423,9.746196001,342,0,1
1479753424,9.507384421,342,0,0
1479753426,9.507384421,341,0,0
1479753427,9.601612659,342,0,0
1479753428,9.620498431,342,0,0
1479753429,9.509335515,342,0,0
1479753431,9.490533323,342,0,0
1479753432,9.645504414,342,0,0
1479753433,9.242556018,342,0,0
1479753434,9.242556018,343,0,2
1479753436,9.643511605,343,0,2
1479753437,9.619731327,342,0,2
1479753438,9.534824837,343,0,1
1479753439,9.847588976,343,0,2
1479753440,9.675479988,343,0,2
1479753442,9.784676854,343,0,2
1479753443,9.339083116,343,0,2
1479753444,9.612068619,343,0,2
1479753445,9.828686115,342,0,2
1479753447,9.728260554,343,0,2
1479753448,9.824658735,342,0,0
1479753449,9.697834568,342,0,0
1479753450,9.587037702,342,0,0
1479753452,9.686386282,342,0,0
1479753453,9.644820689,342,0,0
1479753454,9.836065481,342,0,0
1479753455,9.530997682,342,0,0
1479753457,9.645312638,342,0,0
1479753458,9.649323273,342,0,0
1479753459,9.643628338,342,0,0
1479753460,9.829236441,342,0,0
1479753461,9.866892109,342,0,0
1479753463,9.866892109,342,0,0
1479753464,9.382807009,343,0,0
1479753465,9.514413363,342,0,0
1479753466,9.675154801,343,0,0
1479753468,9.587104406,342,0,0
1479753469,9.443407093,342,0,1
1479753470,9.552192964,342,0,1
1479753471,9.552192964,342,0,0
1479753473,9.769459598,342,0,0
1479753474,9.732713145,342,0,0
1479753475,9.688087265,343,0,1
1479753476,9.66687503,343,0,1
1479753477,9.817421128,342,0,0
1479753479,9.699210364,342,0,0
1479753480,9.539735937,342,0,0
1479753481,9.675263196,342,0,0
1479753482,9.633630943,342,0,0
